jun-25,65.77 $,"58,32 €",,
may-25,63.62 $,"56,41 €",,
abr-25,"69,24 $","61,74 €",,
mar-25,"74,00 $","68,48 €",,
feb-25,"76,81 $","73,77 €",,
ene-25,"79,46 $","76,75 €",,
dic-24,"72,99 $","69,66 €",,
nov-24,"72,95 $","68,63 €",,
oct-24,"74,64 $","68,45 €",,
sep-24,"73,59 $","66,26 €",,
ago-24,"78,37 $","71,17 €",,
jul-24,"84,44 $","77,87 €",,
